PO Line ID,GR Posting Date,GR Effective Quantity
"4581795665-2",2023-04-04 00:00:00.000,1.00
"4581795665-4",2022-12-13 00:00:00.000,0.00
"4581795665-4",2022-12-21 00:00:00.000,2.00
"4581795665-7",2023-05-19 00:00:00.000,0.00
"4581795665-7",2023-05-26 00:00:00.000,16.00
"4581795702-1",2022-12-05 00:00:00.000,16.00
"4581795702-10",2022-12-05 00:00:00.000,2.00
"4581795702-11",2023-04-24 00:00:00.000,0.00
"4581795702-11",2023-04-28 00:00:00.000,2.00
"4581795702-12",2022-12-06 00:00:00.000,0.00
"4581795702-12",2022-12-14 00:00:00.000,60.00
"4581795702-13",2022-12-06 00:00:00.000,0.00
"4581795702-13",2022-12-14 00:00:00.000,5.00
"4581795702-14",2022-12-06 00:00:00.000,0.00
"4581795702-14",2022-12-14 00:00:00.000,10.00
"4581795702-15",2022-12-06 00:00:00.000,0.00
"4581795702-15",2022-12-14 00:00:00.000,1.00
"4581795702-17",2022-12-06 00:00:00.000,0.00
"4581795702-17",2022-12-14 00:00:00.000,10.00
"4581795702-18",2022-12-06 00:00:00.000,0.00
"4581795702-18",2022-12-14 00:00:00.000,2.00
"4581795702-19",2023-01-03 00:00:00.000,0.00
"4581795702-19",2023-01-10 00:00:00.000,1.00
"4581795702-19",2023-05-03 00:00:00.000,0.00
"4581795702-19",2023-05-11 00:00:00.000,1.00
"4581795702-2",2023-01-16 00:00:00.000,0.00
"4581795702-2",2023-01-23 00:00:00.000,10.00
"4581795702-3",2023-01-16 00:00:00.000,0.00
"4581795702-3",2023-01-23 00:00:00.000,10.00
"4581795702-4",2022-12-06 00:00:00.000,0.00
"4581795702-4",2022-12-14 00:00:00.000,9.00
"4581795702-5",2022-12-06 00:00:00.000,3.00
"4581795702-7",2023-03-14 00:00:00.000,0.00
"4581795702-7",2023-03-17 00:00:00.000,3.00
"4581795702-7",2023-04-24 00:00:00.000,0.00
"4581795702-7",2023-05-01 00:00:00.000,2.00
"4581795702-8",2022-12-06 00:00:00.000,0.00
"4581795702-8",2022-12-14 00:00:00.000,2.00
"4581795702-9",2022-12-21 00:00:00.000,0.00
"4581795702-9",2022-12-29 00:00:00.000,1.00
"4581795702-9",2023-01-16 00:00:00.000,0.00
"4581795702-9",2023-01-23 00:00:00.000,1.00
"4581798243-2",2022-12-28 00:00:00.000,0.00
"4581798243-2",2023-01-04 00:00:00.000,1.00
"4581798243-2",2023-03-15 00:00:00.000,0.00
"4581798243-2",2023-03-21 00:00:00.000,4.00
"4581798286-1",2022-12-14 00:00:00.000,0.00
"4581798286-1",2022-12-22 00:00:00.000,30.00
"4581800401-1",2022-12-27 00:00:00.000,0.00
"4581800401-1",2023-01-05 00:00:00.000,4.00
